class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
LocalStashPagesSave	1	1	1	1	127	127	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Expansion																																																																								
Big Bank Page 1	0	320	-28	432	10	15	16	304	-14	421	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling	-1	-1	-1	-1	0	0	-1	-1	-1	-1	29	29	20	75	4	116	55	112	136	191	64	147	55	83	251	307	4	116	56	112	136	191	3	59	55	56	208	233	32	58	25	26	93	118	121	147	25	26	208	233	122	148	25	26	136	191	154	178	55	24	251	306	122	178	55	56	20	75	121	178	55	57
Druid	320	640	-30	430	10	8	335	623	189	419	29	29	337	392	0	110	55	110	450	506	49	131	56	82	566	621	0	110	55	110	451	507	-23	31	56	54	522	547	7	32	25	25	411	436	147	172	25	25	521	546	147	172	25	25	450	506	147	172	56	25	567	621	128	182	54	54	338	392	126	180	54	54
Assassin	320	640	-30	430	10	8	335	623	189	419	29	29	337	392	0	110	55	110	450	506	49	131	56	82	566	621	0	110	55	110	451	507	-23	31	56	54	522	547	7	32	25	25	411	436	147	172	25	25	521	546	147	172	25	25	450	506	147	172	56	25	567	621	128	182	54	54	338	392	126	180	54	54
Amazon2	400	720	32	492	10	8	415	703	249	479	29	29	417	472	57	167	55	110	530	586	108	190	56	82	646	701	57	167	55	110	531	587	35	91	56	56	602	627	67	92	25	25	491	516	207	232	25	25	601	626	207	232	25	25	530	586	207	232	56	25	647	701	188	242	54	54	418	472	186	240	54	54
Sorceress2	400	720	32	492	10	8	415	703	249	479	29	29	417	472	57	167	55	110	530	586	108	190	56	82	646	701	57	167	55	110	531	587	35	91	56	56	602	627	67	92	25	25	491	516	207	232	25	25	601	626	207	232	25	25	530	586	207	232	56	25	647	701	188	242	54	54	418	472	186	240	54	54
Necromancer2	400	720	32	492	10	8	415	703	249	479	29	29	417	472	57	167	55	110	530	586	108	190	56	82	646	701	57	167	55	110	531	587	35	91	56	56	602	627	67	92	25	25	491	516	207	232	25	25	601	626	207	232	25	25	530	586	207	232	56	25	647	701	188	242	54	54	418	472	186	240	54	54
Paladin2	400	720	32	492	10	8	415	703	249	479	29	29	417	472	57	167	55	110	530	586	108	190	56	82	646	701	57	167	55	110	531	587	35	91	56	56	602	627	67	92	25	25	491	516	207	232	25	25	601	626	207	232	25	25	530	586	207	232	56	25	647	701	188	242	54	54	418	472	186	240	54	54
Barbarian2	400	720	32	492	10	8	415	703	249	479	29	29	417	472	57	167	55	110	530	586	108	190	56	82	646	701	57	167	55	110	531	587	35	91	56	56	602	627	67	92	25	25	491	516	207	232	25	25	601	626	207	232	25	25	530	586	207	232	56	25	647	701	188	242	54	54	418	472	186	240	54	54
Monster2	80	401	60	502	10	10	96	385	103	392	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1-2	80	401	60	279	10	4	100	385	101	208	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2-2	80	401	280	502	10	4	100	385	315	428	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page2	80	401	280	502	6	4	154	324	333	446	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box2	80	401	280	502	4	4	184	298	200	314	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
LocalStashPagesSave2	1	1	1	1	127	127	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Big Bank Page2	80	400	42	502	10	15	96	384	46	481	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	100	155	64	176	55	112	216	271	124	207	55	83	331	387	64	176	56	112	216	271	63	119	55	56	288	313	92	118	25	26	173	198	181	207	25	26	288	313	182	208	25	26	216	271	214	238	55	24	331	386	182	238	55	56	100	155	181	238	55	57
Druid2	400	720	32	492	10	8	415	703	249	479	29	29	417	472	57	167	55	110	530	586	108	190	56	82	646	701	57	167	55	110	531	587	35	91	56	56	602	627	67	92	25	25	491	516	207	232	25	25	601	626	207	232	25	25	530	586	207	232	56	25	647	701	188	242	54	54	418	472	186	240	54	54
Assassin2	400	720	32	492	10	8	415	703	249	479	29	29	417	472	57	167	55	110	530	586	108	190	56	82	646	701	57	167	55	110	531	587	35	91	56	56	602	627	67	92	25	25	491	516	207	232	25	25	601	626	207	232	25	25	530	586	207	232	56	25	647	701	188	242	54	54	418	472	186	240	54	54
